address,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Census Year","State FIPS","County FIPS","Place Name","Place FIPS","Census Tract Code","Census Block Code","Census Block Group","Full FIPS (block)","Full FIPS (tract)","Metro/Micro Statistical Area Name","Metro/Micro Statistical Area Code","Metro/Micro Statistical Area Type","Combined Statistical Area Name","Combined Statistical Area Code","Metropolitan Division Area Name","Metropolitan Division Area Code","County Subdivision Name","County Subdivision FIPS","County Subdivision Class Code","County Subdivision Class Description"
"2223 BURTON DR Austin TX 78741",30.231124,-97.733253,1,rooftop,"2223 Burton Dr",,"Austin, TX 78741",2223,"Burton Dr",,,Austin,TX,"Travis County",78741,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002315,2000,2,484530023152000,48453002315,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"705 TILLERY ST Austin TX 78702",30.261149,-97.704116,1,rooftop,"705 Tillery St",,"Austin, TX 78702",705,"Tillery St",,,Austin,TX,"Travis County",78702,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,000902,1002,1,484530009021002,48453000902,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"11301 LAKELINE BLVD Austin TX 78717",30.479431,-97.79938,1,rooftop,"11301 Lakeline Blvd",,"Austin, TX 78717",11301,"Lakeline Blvd",,,Austin,TX,"Williamson County",78717,US,"City of Round Rock",2024,48,48491,Austin,4805000,020311,3013,3,484910203113013,48491020311,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,"Cedar Park-Liberty Hill",90657,Z5,"A statistical county subdivision"
"7101 ED BLUESTEIN BLVD Austin TX 78723",30.314339,-97.663578,0.71,nearest_rooftop_match,"7206 Ed Bluestein Blvd Sb",,"Austin, TX 78723",7206,"Ed Bluestein Blvd Sb",,,Austin,TX,"Travis County",78723,US,"City of Austin (Public Domain)",2024,48,48453,Austin,4805000,002108,2001,2,484530021082001,48453002108,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"10505 RR 620 NORTH Austin TX 78726",30.443675,-97.832355,0.92,rooftop,"10505 N 620th Rd",,"Austin, TX 78726",10505,"N 620th Rd",,,Austin,TX,"Travis County",78726,US,"City of Austin (Public Domain)",2024,48,48453,Austin,4805000,034400,2007,2,484530344002007,48453034400,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,"Northwest Travis",92857,Z5,"A statistical county subdivision"
"11200 MANCHACA RD BLDG 1 Austin TX 78748",30.159433,-97.833517,1,range_interpolation,"11200 Manchaca Rd","Bldg 1","Austin, TX 78748",11200,"Manchaca Rd",Bldg,1,Austin,TX,"Travis County",78748,US,"TIGER/Line® from the US Census Bureau",2024,48,48453,Austin,4805000,037200,2000,2,484530372002000,48453037200,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"4301 DUVAL STREET Austin TX 78751",30.304747,-97.725763,1,rooftop,"4301 Duval St",,"Austin, TX 78751",4301,"Duval St",,,Austin,TX,"Travis County",78751,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,000302,2001,2,484530003022001,48453000302,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"1901 E WILLIAM CANNON DRIVE Austin TX 78744",30.18803,-97.765709,1,rooftop,"1901 E William Cannon Dr",,"Austin, TX 78744",1901,"E William Cannon Dr",,,Austin,TX,"Travis County",78744,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002441,1008,1,484530024411008,48453002441,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"1800 SCOFIELD RIDGE PKWYUNIT 100 Austin TX 78727",30.428634,-97.681669,1,rooftop,"1800 Scofield Ridge Pkwy","Ste 100","Austin, TX 78727",1800,"Scofield Ridge Pkwy",Ste,100,Austin,TX,"Travis County",78727,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,045100,1020,1,484530451001020,48453045100,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"2238 S LAMAR BLVD Austin TX 78704",30.247744,-97.773657,1,rooftop,"2238 S Lamar Blvd",,"Austin, TX 78704",2238,"S Lamar Blvd",,,Austin,TX,"Travis County",78704,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,001304,4008,4,484530013044008,48453001304,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"812 THURMOND ST Austin TX 78758",30.353912,-97.706036,1,rooftop,"812 Thurmond St",,"Austin, TX 78758",812,"Thurmond St",,,Austin,TX,"Travis County",78758,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,040100,2005,2,484530401002005,48453040100,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"614 E KOENIG LN Austin TX 78751",30.320388,-97.715709,1,range_interpolation,"614 E Koenig Ln",,"Austin, TX 78751",614,"E Koenig Ln",,,Austin,TX,"Travis County",78751,US,"TIGER/Line® from the US Census Bureau",2024,48,48453,Austin,4805000,001503,1001,1,484530015031001,48453001503,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"6303 CAMERON ROAD Austin TX 78723",30.320156,-97.695958,1,rooftop,"6303 Cameron Rd",,"Austin, TX 78723",6303,"Cameron Rd",,,Austin,TX,"Travis County",78723,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002104,1003,1,484530021041003,48453002104,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"10901 N LAMAR BLVD STE C-310 Austin TX 78753",30.378304,-97.687739,1,rooftop,"10901 N Lamar Blvd","Ste C310","Austin, TX 78753",10901,"N Lamar Blvd",Ste,C310,Austin,TX,"Travis County",78753,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,041000,1001,1,484530410001001,48453041000,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"8010 BRODIE LN Austin TX 78745",30.203144,-97.8376,1,range_interpolation,"8010 Brodie Ln",,"Austin, TX 78745",8010,"Brodie Ln",,,Austin,TX,"Travis County",78745,US,"TIGER/Line® from the US Census Bureau",2024,48,48453,Austin,4805000,033500,1020,1,484530335001020,48453033500,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"1148 AIRPORT BLVD Austin TX 78702",30.272889,-97.698599,1,rooftop,"1148 Airport Blvd",,"Austin, TX 78702",1148,"Airport Blvd",,,Austin,TX,"Travis County",78702,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,000801,1000,1,484530008011000,48453000801,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"6305 CAMERON RD Austin TX 78723",30.320304,-97.695419,1,rooftop,"6305 Cameron Rd",,"Austin, TX 78723",6305,"Cameron Rd",,,Austin,TX,"Travis County",78723,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002104,1003,1,484530021041003,48453002104,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"4509 E MLK JR BLVD Austin TX 78721",30.285461,-97.683225,1,rooftop,"4509 E Martin Luther King Jr Blvd",,"Austin, TX 78721",4509,"E Martin Luther King Jr Blvd",,,Austin,TX,"Travis County",78721,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002109,2000,2,484530021092000,48453002109,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"10304 N LAMAR BLVD Austin TX 78753",30.371883,-97.691938,1,range_interpolation,"10304 N Lamar Blvd",,"Austin, TX 78753",10304,"N Lamar Blvd",,,Austin,TX,"Travis County",78753,US,"TIGER/Line® from the US Census Bureau",2024,48,48453,Austin,4805000,041000,3000,3,484530410003000,48453041000,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"12001 BURNET ROAD # I Austin TX 78758",30.407374,-97.71366,1,rooftop,"12001 Burnet Rd","# I","Austin, TX 78758",12001,"Burnet Rd",#,I,Austin,TX,"Travis County",78758,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,045300,1002,1,484530453001002,48453045300,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"7814 S 1ST STREET Austin TX 78745",30.184478,-97.79278,1,rooftop,"7814 S 1st St",,"Austin, TX 78745",7814,"S 1st St",,,Austin,TX,"Travis County",78745,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002424,2024,2,484530024242024,48453002424,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"6111 FM 2244 Austin TX 78746",30.295721,-97.830049,1,rooftop,"6111 Farm To Market Rd 2244",,"Austin, TX 78746",6111,"Farm To Market Rd 2244",,,Austin,TX,"Travis County",78746,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,001917,3006,3,484530019173006,48453001917,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"5327 CAMERON RD Austin TX 78723",30.311036,-97.707098,1,rooftop,"5327 Cameron Rd",,"Austin, TX 78723",5327,"Cameron Rd",,,Austin,TX,"Travis County",78723,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002105,1003,1,484530021051003,48453002105,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"9704 GILES LANE Austin TX 78754",30.331628,-97.623964,1,rooftop,"9704 Giles Ln",,"Austin, TX 78754",9704,"Giles Ln",,,Austin,TX,"Travis County",78754,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,042400,2023,2,484530424002023,48453042400,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,"Northeast Travis",92807,Z5,"A statistical county subdivision"
"14611 BURNET RD STE 200 Austin TX 78728",30.450482,-97.695099,1,rooftop,"14611 Burnet Rd","Ste 200","Austin, TX 78728",14611,"Burnet Rd",Ste,200,Austin,TX,"Travis County",78728,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,,,045500,1000,1,484530455001000,48453045500,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"7715 E BEN WHITE BLVD Austin TX 78744",30.220285,-97.686411,0.7,street_center,"E Ben White Blvd",,"Austin, TX 78744",,"E Ben White Blvd",,,Austin,TX,"Travis County",78744,US,"TIGER/Line® dataset from the US Census Bureau",2024,48,48453,Austin,4805000,002448,1002,1,484530024481002,48453002448,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"6518 ED BLUESTEIN BLVD Austin TX 78723",30.30333,-97.661637,0.92,rooftop,"6518 Ed Bluestein Blvd Sb",,"Austin, TX 78723",6518,"Ed Bluestein Blvd Sb",,,Austin,TX,"Travis County",78723,US,"City of Austin (Public Domain)",2024,48,48453,Austin,4805000,002108,2001,2,484530021082001,48453002108,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"5001 HUDSON BEND ROAD Austin TX 78734",30.412579,-97.926839,1,rooftop,"5001 Hudson Bend Rd",,"Austin, TX 78734",5001,"Hudson Bend Rd",,,Austin,TX,"Travis County",78734,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,"Hudson Bend",4835253,031400,1019,1,484530314001019,48453031400,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,"Southwest Travis",93688,Z5,"A statistical county subdivision"
"7817 ROCKWOOD LANE SUITE 101B Austin TX 78757",30.358773,-97.738251,1,rooftop,"7817 Rockwood Ln","Ste 101","Austin, TX 78757",7817,"Rockwood Ln",Ste,101,Austin,TX,"Travis County",78757,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,040400,2018,2,484530404002018,48453040400,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"2800 W WILLIAM CANNON DR Austin TX 78745",30.208347,-97.817492,1,rooftop,"2800 W William Cannon Dr",,"Austin, TX 78745",2800,"W William Cannon Dr",,,Austin,TX,"Travis County",78745,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,032100,3019,3,484530321003019,48453032100,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"2225 E OLTORF STREET Austin TX 78741",30.229364,-97.730656,1,rooftop,"2225 E Oltorf St",,"Austin, TX 78741",2225,"E Oltorf St",,,Austin,TX,"Travis County",78741,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002313,2000,2,484530023132000,48453002313,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"7200 IH 35 NORTH Austin TX 78752",30.3302,-97.705436,0.7,street_center,I-35,,"Austin, TX 78752",,I-35,,,Austin,TX,"Travis County",78752,US,"OpenStreetMap Contributors",2024,48,48453,Austin,4805000,043400,1000,1,484530434001000,48453043400,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"12195 METRIC BLVD Austin TX 78758",30.407731,-97.696666,1,rooftop,"12195 Metric Blvd",,"Austin, TX 78758",12195,"Metric Blvd",,,Austin,TX,"Travis County",78758,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,041200,1009,1,484530412001009,48453041200,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"8101 SALT SPRINGS DR STE A Austin TX 78744",30.159387,-97.745212,1,range_interpolation,"8101 Salt Springs Dr","Ste A","Austin, TX 78744",8101,"Salt Springs Dr",Ste,A,Austin,TX,"Travis County",78744,US,"TIGER/Line® from the US Census Bureau",2024,48,48453,Austin,4805000,002439,2019,2,484530024392019,48453002439,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"5717 IH 35 S BUILDING D Austin TX 78744",29.811687,-98.010085,0.84,nearest_rooftop_match,"5702 I-35","Bldg D","San Marcos, TX 78666",5702,I-35,Bldg,D,"San Marcos",TX,"Hays County",78666,US,"Statewide TX",2024,48,48209,,,010500,3019,3,482090105003019,48209010500,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,"San Marcos",93430,Z5,"A statistical county subdivision"
"1925 RUTLAND DR STE B Austin TX 78758",30.378876,-97.713095,1,rooftop,"1925 Rutland Dr","Ste B","Austin, TX 78758",1925,"Rutland Dr",Ste,B,Austin,TX,"Travis County",78758,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,040700,4002,4,484530407004002,48453040700,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"4607 LOYOLA LANE Austin TX 78723",30.310123,-97.667009,1,range_interpolation,"4607 Loyola Ln",,"Austin, TX 78723",4607,"Loyola Ln",,,Austin,TX,"Travis County",78723,US,"TIGER/Line® from the US Census Bureau",2024,48,48453,Austin,4805000,002108,2001,2,484530021082001,48453002108,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"6607 S PLEASANT VALLEY ROAD Austin TX 78744",30.179019,-97.746657,1,rooftop,"6607 S Pleasant Valley Rd",,"Austin, TX 78744",6607,"S Pleasant Valley Rd",,,Austin,TX,"Travis County",78744,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002430,1000,1,484530024301000,48453002430,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"11643 RESEARCH BLVD STE B Austin TX 78759",30.414111,-97.746935,0.75,nearest_rooftop_match,"11570 Research Blvd Nb","Ste B","Austin, TX 78759",11570,"Research Blvd Nb",Ste,B,Austin,TX,"Travis County",78759,US,"City of Austin (Public Domain)",2024,48,48453,Austin,4805000,002500,2023,2,484530025002023,48453002500,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,"Northwest Travis",92857,Z5,"A statistical county subdivision"
"8906 BRODIE LANE Austin TX 78748",30.195357,-97.842516,1,range_interpolation,"8906 Brodie Ln",,"Austin, TX 78748",8906,"Brodie Ln",,,Austin,TX,"Travis County",78748,US,"TIGER/Line® from the US Census Bureau",2024,48,48453,Austin,4805000,033500,2003,2,484530335002003,48453033500,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"4311 SPRINGDALE ROAD Austin TX 78723",30.286405,-97.681932,1,rooftop,"4311 Springdale Rd",,"Austin, TX 78723",4311,"Springdale Rd",,,Austin,TX,"Travis County",78723,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002108,1027,1,484530021081027,48453002108,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"3515 N LAMAR BOULEVARD Austin TX 78705",30.304005,-97.743571,1,rooftop,"3515 N Lamar Blvd",,"Austin, TX 78705",3515,"N Lamar Blvd",,,Austin,TX,"Travis County",78705,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,000204,1001,1,484530002041001,48453000204,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"14730 N IH 35 Austin TX 78728",30.456414,-97.666564,0.7,street_center,I-35,,"Austin, TX 78728",,I-35,,,Austin,TX,"Travis County",78728,US,"OpenStreetMap Contributors",2024,48,48453,Austin,4805000,045700,3021,3,484530457003021,48453045700,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"13210 HWY 290 WESTSUITE A Austin TX 78737",30.201837,-97.987926,1,rooftop,"13210 W US-290",A,"Austin, TX 78737",13210,"W US-290",,A,Austin,TX,"Hays County",78737,US,"Capcog (Capital Area Council of Governments)",2024,48,48209,,,010809,1002,1,482090108091002,48209010809,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,"Dripping Springs-Wimberley",91075,Z5,"A statistical county subdivision"
"5000 W SLAUGHTER LN # 5 Austin TX 78749",30.200341,-97.863848,1,rooftop,"5000 W Slaughter Ln","# 5","Austin, TX 78749",5000,"W Slaughter Ln",#,5,Austin,TX,"Travis County",78749,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,031300,1003,1,484530313001003,48453031300,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"11613 RANCH ROAD 620 N Austin TX 78750",30.455742,-97.826073,1,range_interpolation,"11613 Ranch Rd 620 N",,"Austin, TX 78750",11613,"Ranch Rd 620 N",,,Austin,TX,"Travis County",78750,US,"TIGER/Line® from the US Census Bureau",2024,48,48453,"Cedar Park",4813552,035800,1000,1,484530358001000,48453035800,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,"Northwest Travis",92857,Z5,"A statistical county subdivision"
"11913 RANCHO ALTO RD Austin TX 78748",30.148944,-97.842255,1,rooftop,"11913 Rancho Alto Rd",,"Austin, TX 78748",11913,"Rancho Alto Rd",,,Austin,TX,"Travis County",78748,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,033200,1009,1,484530332001009,48453033200,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"3400 E HOWARD LANE Austin TX 78660",30.388409,-97.619327,0.99,rooftop,"3400 E Howard Ln",,"Manor, TX 78653",3400,"E Howard Ln",,,Manor,TX,"Travis County",78653,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,044900,1013,1,484530449001013,48453044900,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,"Northeast Travis",92807,Z5,"A statistical county subdivision"
"105 E STASSNEY LN Austin TX 78745",30.204268,-97.773974,1,rooftop,"105 E Stassney Ln",,"Austin, TX 78745",105,"E Stassney Ln",,,Austin,TX,"Travis County",78745,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002443,1006,1,484530024431006,48453002443,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"10014 N LAMAR BLVD Austin TX 78753",30.370115,-97.693355,1,rooftop,"10014 N Lamar Blvd",,"Austin, TX 78753",10014,"N Lamar Blvd",,,Austin,TX,"Travis County",78753,US,"City of Austin (Public Domain)",2024,48,48453,Austin,4805000,040900,1006,1,484530409001006,48453040900,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"12304 RR 620 NORTH Austin TX 78750",30.463095,-97.814464,0.92,rooftop,"12304 N 620th Rd",,"Austin, TX 78750",12304,"N 620th Rd",,,Austin,TX,"Williamson County",78750,US,"City of Austin (Public Domain)",2024,48,48491,"Cedar Park",4813552,020334,1023,1,484910203341023,48491020334,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,"Cedar Park-Liberty Hill",90657,Z5,"A statistical county subdivision"
"701 W BRAKER LANE Austin TX 78753",30.381085,-97.685733,1,rooftop,"701 W Braker Ln",,"Austin, TX 78753",701,"W Braker Ln",,,Austin,TX,"Travis County",78753,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,041000,1000,1,484530410001000,48453041000,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"6401 FM 969 SUITE 100 Austin TX 78724",30.28507,-97.661974,1,range_interpolation,"6401 Farm To Market Rd 969","Ste 100","Austin, TX 78724",6401,"Farm To Market Rd 969",Ste,100,Austin,TX,"Travis County",78724,US,"TIGER/Line® from the US Census Bureau",2024,48,48453,Austin,4805000,002214,1004,1,484530022141004,48453002214,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"1525 BARTON SPRINGS ROAD Austin TX 78704",30.261617,-97.761168,1,rooftop,"1525 Barton Springs Rd",,"Austin, TX 78704",1525,"Barton Springs Rd",,,Austin,TX,"Travis County",78704,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,001310,1002,1,484530013101002,48453001310,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"14735 BRATTON LN STE 101 Austin TX 78728",30.446246,-97.685771,1,rooftop,"14735 Bratton Ln","Ste 101","Austin, TX 78728",14735,"Bratton Ln",Ste,101,Austin,TX,"Travis County",78728,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,"Wells Branch",4877196,042300,1011,1,484530423001011,48453042300,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"10401 N IH 35 Austin TX 78753",30.792805,-97.622196,0.79,nearest_rooftop_match,"10351 N Interstate Highway 35",,"Jarrell, TX 76537",10351,"N Interstate Highway 35",,,Jarrell,TX,"Williamson County",76537,US,"City of Round Rock",2024,48,48491,,,021603,1002,1,484910216031002,48491021603,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Jarrell,91915,Z5,"A statistical county subdivision"
"14701 BURNET RD Austin TX 78728",30.451173,-97.694875,1,rooftop,"14701 Burnet Rd",,"Austin, TX 78728",14701,"Burnet Rd",,,Austin,TX,"Travis County",78728,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,,,045500,1000,1,484530455001000,48453045500,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"10207 LAKE CREEK PKWY Austin TX 78729",30.461334,-97.792823,1,rooftop,"10207 Lake Creek Pkwy",,"Austin, TX 78729",10207,"Lake Creek Pkwy",,,Austin,TX,"Williamson County",78729,US,"City of Round Rock",2024,48,48491,Austin,4805000,020408,1016,1,484910204081016,48491020408,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,"Round Rock-Georgetown",93343,Z5,"A statistical county subdivision"
"11331 N LAMAR BLVD A Austin TX 78753",30.382188,-97.684834,1,rooftop,"11331 N Lamar Blvd",A,"Austin, TX 78753",11331,"N Lamar Blvd",,A,Austin,TX,"Travis County",78753,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,041100,1011,1,484530411001011,48453041100,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"7811 S 1ST ST SUITE 100 Austin TX 78745",30.184204,-97.792013,1,rooftop,"7811 S 1st St","Ste 100","Austin, TX 78745",7811,"S 1st St",Ste,100,Austin,TX,"Travis County",78745,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002422,3005,3,484530024223005,48453002422,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"4604 TERI ROAD Austin TX 78744",30.196811,-97.743199,1,rooftop,"4604 Teri Rd",,"Austin, TX 78744",4604,"Teri Rd",,,Austin,TX,"Travis County",78744,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002413,1003,1,484530024131003,48453002413,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"704 E SAINT JOHNS AVE Austin TX 78752",30.3334,-97.705806,1,range_interpolation,"704 E St John's Ave",,"Austin, TX 78752",704,"E St John's Ave",,,Austin,TX,"Travis County",78752,US,"TIGER/Line® from the US Census Bureau",2024,48,48453,Austin,4805000,001503,4009,4,484530015034009,48453001503,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"2400 BURLESON RD Austin TX 78741",30.229666,-97.735953,1,rooftop,"2400 Burleson Rd",,"Austin, TX 78741",2400,"Burleson Rd",,,Austin,TX,"Travis County",78741,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002307,4006,4,484530023074006,48453002307,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"8807 CAMERON RD Austin TX 78754",30.344604,-97.677667,1,rooftop,"8807 Cameron Rd",,"Austin, TX 78754",8807,"Cameron Rd",,,Austin,TX,"Travis County",78754,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,043600,2002,2,484530436002002,48453043600,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
